Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,HFO_Power,Spectral_Entropy,Kurtosis,Skewness,Line_Length,RMS,Hjorth_Complexity,Condition,Filename,UMAP1,UMAP2,UMAP3
0.6964561056764417,0.0755490472054821,0.03926758258025692,0.08863048141960425,0.0675476359652723,0.032549147152942826,3.1657487508646085,22.733276953771824,-2.8850784762453126,70044.43159629838,33.659416235631895,3.649848625561074,WT,WT_256_0.npz,0.41541412,10.10505,2.999931
0.7653266987530689,0.03896583789079419,0.020458171007201653,0.062849489759489,0.06824451585179411,0.04415528673765209,2.92183612401021,19.52284666181016,-3.0186501627447724,96667.00723549817,41.894519699672045,3.5348060601420688,WT,WT_256_1.npz,0.41841617,10.097434,2.9901392
0.7246088581043514,0.05220513507365009,0.017887116961205658,0.04109563875491338,0.10582637669975482,0.05837687440612504,3.098435307722206,11.267961386063941,-1.909264813560865,122589.31309252357,40.38116790948846,2.9331279848938547,WT,WT_256_10.npz,0.43223688,10.087425,3.0021079
0.7697938861763407,0.05399282179361882,0.02022917249340238,0.0449382036139183,0.08185754138265632,0.029188374540063518,2.9312663795375395,0.9821071652767865,-0.19680839252470636,113247.54266102525,40.6052355771189,3.295039368600037,WT,WT_256_100.npz,0.4038022,9.732197,1.9641302
0.7998427904683001,0.04632705536393511,0.02359831325139187,0.03518744133289623,0.0645931698948736,0.03045122968860279,2.7835167637370093,0.3492446085588625,-0.3899288534580488,123608.17127802645,48.2383497744517,3.6187606704514548,WT,WT_256_101.npz,0.41303602,9.757027,1.9599389
0.8037066733025044,0.04254869233123223,0.02718875496076717,0.03591861056253248,0.06557500147445555,0.025062267368508112,2.560313083474849,0.49147199753252524,0.3157852544173105,115465.79708082747,48.75056621012152,3.8482259214578733,WT,WT_256_102.npz,0.39029223,9.786228,1.9511131
0.7949632253849881,0.0365337867133469,0.020233864867848145,0.03488610702562756,0.07435080617554853,0.03903220983264075,2.763667052159028,0.6086715863044003,0.03584939402218553,137187.22536638967,50.630090643591764,3.401355276437191,WT,WT_256_103.npz,0.4037051,9.745429,1.9279153
0.786646213504268,0.03932140518062397,0.024802920725197894,0.03767804008930472,0.07342426837872328,0.03812715212188207,2.8345059898239544,0.3187481356106203,-0.008863450240248346,133334.2446630938,49.060849207088594,3.38069517992376,WT,WT_256_104.npz,0.39307165,9.73258,1.9266272
0.6132521627638851,0.07870688230733507,0.039758375765944626,0.05941643508719928,0.12007967238934392,0.08878647168629214,3.6910456928334217,0.8347557877941361,-0.28716384872623246,149003.20017091802,39.85396568097791,2.4517900453917383,WT,WT_256_105.npz,0.15598638,9.017954,1.4991347
0.42267164453371203,0.17180474471216103,0.08687890983312091,0.09194752663748935,0.11920345725541981,0.10749371702809686,4.194354293525497,0.6216056828585899,0.13441269213784188,152495.68254568233,37.46681372143358,2.33807783144286,WT,WT_256_106.npz,-1.0977315,7.693611,0.7223212
