Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,HFO_Power,Spectral_Entropy,Kurtosis,Skewness,Line_Length,RMS,Hjorth_Complexity,Condition,Filename,UMAP1,UMAP2
607.7360058261767,65.92501066242866,34.26536662004904,77.34002808416108,58.94288261664928,28.40277875741375,3.1657487508646085,22.733276953771824,-2.8850784762453126,70044.43159629838,33.659416235631895,3.649848625561074,WT,WT_256_0.npz,3.9932287,15.068253
1039.058021402066,52.90259243150429,27.77536276061194,85.3286140180696,92.65325739718652,59.9481305785057,2.92183612401021,19.52284666181016,-3.0186501627447724,96667.00723549817,41.894519699672045,3.5348060601420688,WT,WT_256_1.npz,3.9865394,15.064824
1002.4046960347661,72.21920070347795,24.744563691013475,56.85061783848778,146.39740569235715,80.75702137787609,3.098435307722206,11.267961386063941,-1.909264813560865,122589.31309252357,40.38116790948846,2.9331279848938547,WT,WT_256_10.npz,3.9774687,15.056167
1217.4011161134952,85.38768973622541,31.991702732072667,71.06813943075073,129.45473331380066,46.16035588320079,2.9312663795375395,0.9821071652767865,-0.19680839252470636,113247.54266102525,40.6052355771189,3.295039368600037,WT,WT_256_100.npz,2.0610054,10.103925
2.971098094468099e-25,1.6284043264974487e-25,1.9364285825259175e-25,6.96058079459738e-25,2.0220047543255347e-24,1.965404184163518e-24,5.389103917739817,-0.1791444254746284,-0.05036227220121895,1.973239704966545e-08,6388.979999999988,1.3353157349224638,WT,WT_256_1000.npz,15.936047,1.2087685
3.375895542337333e-25,1.793461809884475e-25,2.140580914911912e-25,7.721917946632766e-25,2.194282429763768e-24,1.9516675768092697e-24,5.373343428960377,0.11372303932962113,0.5351150345293207,1.9762410374823958e-08,6388.979999999988,1.2808001556351178,WT,WT_256_1001.npz,-12.76324,-1.9424717
3.178192964512815e-25,1.7369070836023306e-25,2.206010161441558e-25,7.2878647903325905e-25,2.0838859637871586e-24,1.917383051935116e-24,5.2959590006981765,-0.01404347114062654,0.7038455074852116,1.9503204384818673e-08,6388.979999999988,1.4047436502501909,WT,WT_256_1002.npz,1.3919728,-8.013354
2.684406596535768e-25,1.7470271659381445e-25,2.1781436425812766e-25,7.728285777596491e-25,2.0910438097910298e-24,1.928121269620909e-24,5.496780106014848,-0.2337041721379025,-1.0331254939378258,1.991793396882713e-08,6388.979999999989,1.3814489581564338,WT,WT_256_1003.npz,18.420815,-4.3999686
2.3894829838334066e-25,2.0357618591488917e-25,2.221585539690627e-25,7.7780869326706905e-25,2.1917184069354114e-24,1.9038300515909416e-24,5.444541572290678,-0.07680036888846287,1.1873635613352826,1.9885192159563303e-08,6388.979999999988,1.409643961031643,WT,WT_256_1004.npz,-3.5749362,-12.528735
2.3906526708485674e-25,1.9424562270289506e-25,2.469472020185568e-25,7.3475394521538985e-25,2.0723952163008262e-24,1.9743774961097318e-24,5.450362641347393,-0.20609872345817148,1.2859431003007704,1.994612830458209e-08,6388.979999999989,1.49127747471437,WT,WT_256_1005.npz,2.6307838,-11.334327
2.5092628432464807e-25,1.9282061417900918e-25,2.7488768242192477e-25,7.655115551309847e-25,2.112934286134851e-24,2.0247117604037115e-24,5.454548542803018,-0.2949582296438318,-1.124256603339482,2.0097104425076395e-08,6388.979999999989,1.4364194110630824,WT,WT_256_1006.npz,17.49604,6.19264
2.7945903426160273e-25,2.14268677580299e-25,2.2063627728229184e-25,7.502267397464616e-25,2.183049202564124e-24,1.9367424714011763e-24,5.390331048224587,-0.05554012111503326,0.8660860341103909,1.973876351257786e-08,6388.979999999988,1.3884319397762777,WT,WT_256_1007.npz,7.0759254,-9.1081295
2.6698729862818197e-25,1.9602808231782378e-25,2.483579241801373e-25,7.33333325098569e-25,2.0559065225937615e-24,1.907696799732144e-24,5.423792543340198,0.052946840347555035,0.6349408983846238,1.94149833987467e-08,6388.979999999988,1.281307267360539,WT,WT_256_1008.npz,-8.433965,-4.656847
3.431754794832271e-25,1.8768543112513089e-25,2.421950516040723e-25,7.2516689447460995e-25,2.1485908212217257e-24,1.9240928841693794e-24,5.1992890204925715,0.03082680585563491,1.118681456527614,1.9604158296715468e-08,6388.979999999987,1.4196103565154046,WT,WT_256_1009.npz,-4.0754294,-7.1924367
1701.6424410725758,98.55947258215018,50.20473003548972,74.86026539009063,137.42010380836774,64.78411187608172,2.7835167637370093,0.3492446085588625,-0.3899288534580488,123608.17127802645,48.2383497744517,3.6187606704514548,WT,WT_256_101.npz,1.6978413,10.047068
2.971098094468099e-25,1.6284043264974487e-25,1.9364285825259175e-25,6.96058079459738e-25,2.0220047543255347e-24,1.965404184163518e-24,5.389103917739817,-0.1791444254746284,-0.05036227220121895,1.973239704966545e-08,6388.979999999988,1.3353157349224638,WT,WT_256_1010.npz,16.039768,1.3628439
3.375895542337333e-25,1.793461809884475e-25,2.140580914911912e-25,7.721917946632766e-25,2.194282429763768e-24,1.9516675768092697e-24,5.373343428960377,0.11372303932962113,0.5351150345293207,1.9762410374823958e-08,6388.979999999988,1.2808001556351178,WT,WT_256_1011.npz,-12.7234125,-1.9380478
3.178192964512815e-25,1.7369070836023306e-25,2.206010161441558e-25,7.2878647903325905e-25,2.0838859637871586e-24,1.917383051935116e-24,5.2959590006981765,-0.01404347114062654,0.7038455074852116,1.9503204384818673e-08,6388.979999999988,1.4047436502501909,WT,WT_256_1012.npz,1.3593966,-7.985255
