Channel,Power_uV2_Hz
P4,105.17644025973614
C2,87.70054530442033
F4,60.45269922857905
Pz,95.62289464262192
O1,31.869723066009765
T1,57.504531115051726
T5,28.44456744426006
P3,75.15631196122196
C1,82.77264920675648
Fz,90.72726340657447
O2,38.618368271199394
T2,69.63295161843023
T6,76.3276691583064
F3,82.88264524598986
Fp2,76.29073944902434
Fp1,86.50313600786444
